sheet,well,tmb,hrp,h2o2,etoh,peg20k,dmso,pl127,bsa,pva,tw80,glycerol,tw20,imidazole,tx100,edta,mgcl2,sucrose,cacl2,zn2,paa,mn2,peg200k,fe2,peg5k,peg400,auc_mean,roi_sd_q25,roi_sd_q50,roi_sd_q75,n_repeats,auc_mean_std
H2O2,"[0,0]",0.375,0.006075,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8424654453992844,1.1275603771209717,1.377522498369217,1,
H2O2,"[0,1]",0.375,0.004339285714285714,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.895735576748848,1.1441496014595032,1.3657006323337555,1,
H2O2,"[0,2]",0.375,0.003099489795918367,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0482860505580902,1.3567469716072083,1.6928360760211945,1,
H2O2,"[0,3]",0.375,0.002213921282798834,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8716787248849869,1.1397521495819092,1.339131474494934,1,
H2O2,"[0,4]",0.375,0.0015813723448563101,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.952559694647789,1.2386982440948486,1.5132874548435211,1,
H2O2,"[0,5]",0.375,0.0011295516748973645,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00038628502461577545,0.9733228236436844,1.1883933544158936,1.5071589350700378,1,
H2O2,"[0,6]",0.375,0.000806822624926689,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004819878743919685,0.9260292053222656,1.1705267429351807,1.342929631471634,1,
H2O2,"[0,7]",0.375,0.000576301874947635,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071103936706949904,0.8758927285671234,1.1979445219039917,1.3336023688316345,1,
H2O2,"[0,8]",0.375,0.00041164419639116794,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011726153403985123,0.9216278493404388,1.170324683189392,1.4747279584407806,1,
H2O2,"[0,9]",0.375,0.00029403156885083427,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015640501833782634,0.8614763915538788,1.0374587774276733,1.225327879190445,1,
H2O2,"[0,10]",0.375,0.00021002254917916734,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027767086045361378,0.7859514355659485,0.9903249740600586,1.2188672125339508,1,
H2O2,"[0,11]",0.375,0.0001500161065565481,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0752609988415638,1.0427245795726776,1.6083009243011475,2.030476152896881,1,
H2O2,"[0,12]",0.375,0.0001071543618261058,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11280576925592908,0.9613770395517349,1.339563250541687,1.5937149822711945,1,
H2O2,"[0,13]",0.375,7.653882987578986e-05,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.069584850752846,0.783205047249794,1.1276373267173767,1.3211559653282166,1,
H2O2,"[0,14]",0.375,5.467059276842133e-05,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14623852396554954,1.171366810798645,1.5342108011245728,2.0121350288391113,1,
H2O2,"[0,15]",0.375,3.905042340601524e-05,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16474403753751315,0.8672581017017365,1.1015765070915222,1.3278587460517883,1,
H2O2,"[0,16]",0.375,2.7893159575725174e-05,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40486173165173034,0.8847124427556992,1.093949794769287,1.3278518915176392,1,
H2O2,"[0,17]",0.375,1.992368541123227e-05,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31279624559826136,0.98880435526371,1.230673372745514,1.4327912330627441,1,
H2O2,"[0,18]",0.375,1.4231203865165907e-05,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28346263459407356,0.6941228210926056,0.8192580044269562,1.094608634710312,1,
H2O2,"[0,19]",0.375,1.0165145617975648e-05,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3674030765488794,0.8933348655700684,1.009983777999878,1.1663107872009277,1,
H2O2,"[0,20]",0.375,7.260818298554035e-06,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7170429286158584,0.89893539249897,1.015370786190033,1.1318369805812836,1,
H2O2,"[0,21]",0.375,5.186298784681454e-06,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.546874632047356,0.986810028553009,1.104541838169098,1.3428691923618317,1,
H2O2,"[0,22]",0.375,3.7044991319153243e-06,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8573615594304027,0.7039021253585815,0.7775628864765167,0.9903306365013123,1,
H2O2,"[0,23]",0.375,2.6460708085109463e-06,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.371470629855826,0.7390231490135193,0.8389561176300049,0.9242889583110809,1,
