Trial,tmb,hrp,h2o2,bsa_sw,bsa_lvl,cacl2_sw,cacl2_lvl,dmso_sw,dmso_lvl,edta_sw,edta_lvl,etoh_sw,etoh_lvl,fe2_sw,fe2_lvl,glycerol_sw,glycerol_lvl,imidazole_sw,imidazole_lvl,mgcl2_sw,mgcl2_lvl,mn2_sw,mn2_lvl,paa_sw,paa_lvl,peg200k_sw,peg200k_lvl,peg20k_sw,peg20k_lvl,peg400_sw,peg400_lvl,peg5k_sw,peg5k_lvl,pl127_sw,pl127_lvl,pva_sw,pva_lvl,sucrose_sw,sucrose_lvl,tw20_sw,tw20_lvl,tw80_sw,tw80_lvl,tx100_sw,tx100_lvl,zn2_sw,zn2_lvl,t90,I_max,tail_pct,valid
1,0.6,5e-05,0.12,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,30,106.36685796269728,84.41467701317953,True
1,0.4285714285714286,5e-05,0.12,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,26,102.90645624103301,73.44693262396515,True
1,0.3061224489795919,5e-05,0.12,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,36,91.92740315638451,99.99999999999999,True
1,0.21865889212827994,5e-05,0.12,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,38,95.00975609756098,100.0,True
1,0.1561849229487714,5e-05,0.12,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,33,78.3061692969871,100.0,True
1,0.11156065924912244,5e-05,0.12,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28,78.19569583931134,99.91615048144668,True
1,0.07968618517794461,5e-05,0.12,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,32,71.15423242467719,100.0,True
1,0.056918703698531865,5e-05,0.12,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,30,66.62855093256815,100.0,True
1,0.04065621692752276,5e-05,0.12,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,31,58.21262553802009,99.99999999999999,True
1,0.029040154948230545,5e-05,0.12,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29,58.25021520803444,99.61699884730197,True
